""	"AQ709"	"AQ682"	"AQ580"	"AQ499"
"820978"	1	0	0	0
"580743"	0	1	3	0
"609982"	0	35	0	39
"364926"	4	0	0	0
"805151"	0	1	0	0
"589792"	0	8	3	2
"592628"	0	0	1	0
"369064"	0	0	1	0
"865469"	0	1	0	8
"1107027"	0	47	0	53
"539305"	0	1	0	0
"4428164"	0	1	0	0
"550936"	0	18	25	8
"542066"	0	2	0	0
"1111294"	61	0	4	1
"359984"	0	1	0	0
"580625"	0	2	3	0
"334459"	1	0	1	0
"552922"	0	0	1	0
"154960"	0	0	0	2
"1101451"	1	0	1	0
"551969"	0	0	3	0
"248395"	0	1	0	0
"989870"	0	6	0	0
"503174"	0	1	0	0
"262095"	53	0	2	1
"583656"	10	0	0	0
"367535"	10	1	1	0
"537290"	0	0	0	19
"984831"	0	1	0	0
"942852"	0	0	0	3
"113396"	0	0	0	1
"988314"	0	17	4	1
"813945"	0	3	0	3
"279204"	0	0	129	0
"589754"	0	1	0	1
"1013670"	0	6	117	0
"1108289"	0	2	2	1
"860929"	0	0	0	1
"37948"	0	4	88	0
"1106617"	0	29	26	19
"191237"	0	0	1	0
"1654477"	922	4	4	91
"239951"	0	2	0	0
"830290"	0	4	2	0
"540982"	230	1	0	1
"697479"	0	0	0	2
"544847"	0	0	2	2
"1108308"	0	0	4	0
"1011712"	0	0	0	1
"337083"	294	29	167	22
"805854"	1467	1	23	272
"528421"	3	0	0	0
"547396"	0	4	3	0
"903158"	0	1	0	3
"308081"	3	0	3	1
"974121"	0	0	0	1
"1866742"	0	9	0	3
"388951"	0	1	0	0
"566062"	0	0	0	1
"297672"	0	0	0	88
"804735"	0	0	1	0
"1082059"	0	0	3	10
"1097359"	0	0	0	1
"541299"	0	0	1	0
"97361"	0	2	0	0
"2752360"	0	0	5	0
"558885"	0	1	0	0
"308309"	8	2	3	1
"4385756"	2	0	0	0
"1108960"	0	5	1	0
"132837"	0	21	6	4
"1107011"	0	0	0	1
"987760"	0	25	2	32
"225795"	0	0	10	0
"1068902"	0	4	0	0
"902334"	0	34	1	1
"351979"	259	0	7	35
"503387"	0	0	1	0
"580411"	0	5	0	0
"9510"	2	20	105	966
"156357"	0	0	1	2
"768553"	0	0	0	3
"529652"	16	0	1	0
"992510"	0	1	1	1
"933546"	0	0	1	0
"979107"	0	0	1	0
"1075821"	1	0	0	0
"582379"	100	6	18	0
"1108275"	0	0	0	1
"160015"	1	1	2	21
"291844"	7	0	2	1
"573035"	0	56	110	48
"656307"	0	1	2	1
"590586"	0	0	0	3
"900973"	0	0	1	0
"548576"	1	5	0	14
"1106324"	0	0	3	1
"239345"	0	0	1	0
"553623"	0	1	0	0
"712677"	2	0	0	0
"828483"	203	3	75	14
"539735"	0	0	0	1
"156109"	0	1072	0	1
"580495"	0	0	0	1
"535375"	0	0	4	0
"571320"	0	4	38	0
"544680"	0	253	1	227
"1011088"	0	1	1	1
"925494"	0	0	1	0
"566216"	0	0	1	0
"1111582"	0	3	7	2
"572889"	678	10	45	21
"1107128"	0	0	1	0
"1108726"	0	0	0	1
"990864"	0	0	1	0
"359750"	2	0	2	0
"538602"	0	0	3	1
"941278"	0	0	0	2
"544313"	0	5	5	104
"570444"	0	7	2	13
"922761"	0	1	0	0
"4028105"	0	2	0	0
"777466"	0	0	8	0
"233981"	0	0	0	158
"563572"	1	3	0	0
"584500"	0	0	1	0
"519864"	28	0	2	0
"589040"	0	0	2	0
"27938"	0	1	0	0
"739614"	0	4	2	0
"350697"	1	55	1	5
"1003206"	0	0	1	0
"648540"	0	0	1	0
"4360168"	0	2	7	1
"1101488"	0	2	4	0
"1083194"	0	0	1	0
"533373"	29	0	0	0
"938948"	0	1	0	0
"1051517"	0	30	19	4
"1104529"	2	9	1	5
"536986"	172	0	1	46
"792393"	12	0	0	2
"509913"	0	5	371	0
"1002005"	0	3	2	5
"706432"	0	1	0	1
"969805"	0	1	0	0
"441265"	0	1	0	0
"New.0.ReferenceOTU384"	0	1	0	0
"New.0.ReferenceOTU246"	1	0	0	0
"New.0.ReferenceOTU584"	0	1	0	0
"New.0.ReferenceOTU827"	0	2	4	0
"New.0.ReferenceOTU177"	0	5	0	0
"New.0.ReferenceOTU174"	0	46	1	90
"New.0.ReferenceOTU302"	0	0	0	2
"New.0.ReferenceOTU782"	0	6	0	0
"New.0.ReferenceOTU392"	0	49	5	36
"New.0.ReferenceOTU179"	0	0	4	0
"New.0.ReferenceOTU346"	0	0	0	1
"New.0.ReferenceOTU262"	0	0	1	0
"New.0.ReferenceOTU541"	0	2	0	0
"New.0.ReferenceOTU311"	0	1	0	0
"New.0.ReferenceOTU727"	0	60	0	24
"New.0.ReferenceOTU791"	0	1361	0	1514
"New.0.ReferenceOTU445"	0	0	0	2
"New.0.ReferenceOTU453"	0	15	18	4
"New.0.ReferenceOTU428"	0	0	0	1
"New.0.ReferenceOTU216"	0	0	0	2
"New.0.ReferenceOTU359"	0	1	0	0
"New.0.ReferenceOTU806"	0	0	0	1
"New.0.ReferenceOTU678"	0	36	0	15
"New.0.ReferenceOTU488"	0	1	0	0
"New.0.ReferenceOTU411"	0	1	0	0
"New.0.ReferenceOTU41"	1	38	1	3
"New.0.ReferenceOTU43"	0	772	2920	324
"New.0.ReferenceOTU325"	0	4	4	0
"New.0.ReferenceOTU324"	0	0	1	0
"New.0.ReferenceOTU739"	0	0	7	0
"New.0.ReferenceOTU103"	0	19	0	0
"New.0.ReferenceOTU745"	20	0	0	1
"New.0.ReferenceOTU111"	0	3	0	1
"New.0.ReferenceOTU169"	0	8	0	0
"New.0.ReferenceOTU161"	0	6	4	0
"New.0.ReferenceOTU680"	69	0	0	12
"New.0.ReferenceOTU703"	0	1	0	0
"New.0.ReferenceOTU113"	0	0	1	0
"New.0.ReferenceOTU357"	0	48	79	31
"New.0.CleanUp.ReferenceOTU15269"	2	0	0	0
"New.0.CleanUp.ReferenceOTU19193"	1	0	0	0
"New.0.CleanUp.ReferenceOTU32266"	0	0	3	0
"New.0.CleanUp.ReferenceOTU42022"	0	1	0	0
"New.0.CleanUp.ReferenceOTU74266"	0	0	0	2
"1110317"	0	1	0	0
