""	"AQ190"	"AQ421"	"AQ733"	"AQ501"	"AQ707"	"AQ397"	"AQ605"	"AQ164"	"AQ112"	"AQ838"	"AQ812"	"AQ34"	"AQ681"	"AQ449"
"113013"	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"505587"	0	0	4	0	0	0	3	0	0	0	0	1	0	0
"165827"	0	0	0	0	1	0	3	0	0	0	0	0	0	0
"563240"	0	0	12	1	0	0	1	0	0	0	1	0	0	0
"820978"	0	0	1	22	0	1	136	0	0	0	0	0	0	0
"1086889"	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"1076969"	0	0	0	0	0	0	2	0	0	0	0	0	0	0
"919487"	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"300811"	0	0	0	0	2	0	2	0	0	0	0	0	0	0
"552026"	0	0	0	0	0	0	1	0	0	0	0	0	1	0
"180752"	1	0	0	0	0	0	2	0	0	0	0	0	2	0
"580743"	1	0	0	1	0	17	7	0	0	0	1	0	1	27
"609982"	0	0	0	1	0	0	0	0	0	0	12	0	0	0
"740871"	0	0	0	1	0	0	0	0	0	0	0	0	1	0
"1084157"	0	0	0	0	1	0	10	0	0	0	0	0	0	0
"364926"	3	0	0	1	0	0	0	0	1	0	0	20	0	0
"810959"	0	0	0	1	0	0	2	0	0	0	0	0	0	0
"805151"	0	1	6	1	0	1	0	1	0	0	0	0	4	1
"822354"	0	0	0	0	0	0	1	0	0	0	0	0	1	0
"439036"	0	0	0	0	0	0	5	0	0	0	0	0	0	0
"322927"	1	0	0	0	0	0	2	0	0	0	0	0	0	0
"589792"	6	0	0	1	0	0	2	20	0	0	1	5	29	1
"420127"	0	0	0	0	0	0	2	0	0	0	0	0	0	0
"592628"	0	0	19	0	0	1	1	0	1	0	0	0	9	0
"1077373"	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"873887"	0	0	0	0	0	0	5	0	0	0	0	0	0	0
"865469"	3	0	9	5	2	0	18	6	7	2	1	8	6	0
"1107027"	463	0	2	0	7	0	9	0	0	87	10	67	25	0
"585419"	0	0	0	0	0	0	10	0	0	0	0	1	0	0
"539305"	0	0	0	0	0	0	0	0	0	0	0	0	2	0
"932696"	0	0	0	0	1	0	1	0	0	0	0	0	0	0
"550936"	0	0	0	7	0	0	0	10	0	0	0	7	0	9
"1084417"	0	0	5	0	0	0	1	0	0	0	0	0	0	0
"1060029"	0	0	0	0	0	0	5	0	0	0	0	0	0	0
"542066"	1	0	0	0	0	0	9	2	0	0	2	0	0	0
"929901"	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"759916"	1	0	0	0	0	0	2	0	0	3	0	0	5	0
"592832"	0	0	0	0	0	0	0	0	0	0	0	0	0	2
"561885"	0	0	0	0	0	0	4	0	0	1	0	0	0	0
"790545"	0	0	0	0	0	0	4	0	0	0	0	1	0	0
"1111294"	29	29	5	204	47	0	143	27	5	7	4	12	6	0
"876170"	0	0	0	0	0	0	6	0	0	0	0	0	0	0
"788268"	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"586458"	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"217386"	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"359984"	0	0	0	0	0	0	0	0	0	43	0	0	0	0
"580625"	0	0	7	0	1	0	0	0	0	3	0	0	0	0
"334459"	2	0	0	3	0	0	3	1	0	0	0	0	3	0
"248648"	0	0	0	0	0	0	0	0	2	0	0	0	0	0
"1109744"	0	0	0	0	0	0	0	0	13	0	0	0	0	0
"552922"	0	0	1	0	0	0	0	0	0	0	0	0	1	0
"363305"	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"435928"	0	0	0	0	0	0	17	0	0	0	0	0	0	0
"918840"	0	0	0	0	0	0	2	0	0	0	0	0	0	0
"510422"	0	0	0	0	1	0	5	0	0	0	0	0	0	0
"809486"	0	0	0	0	0	0	1	0	0	0	2	0	3	0
"1101451"	0	0	1	0	1	0	22	1	0	2	2	2	1	0
"551969"	1	0	0	0	0	0	0	0	2	0	0	12	0	0
"1017181"	0	0	1	0	1	0	4	0	0	0	0	0	0	0
"248395"	4	0	38	2	0	0	0	0	0	0	11	0	0	1
"544480"	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"989870"	0	0	0	1	0	0	0	0	12	0	0	0	0	2
"503174"	0	0	0	0	0	0	0	0	0	0	0	0	4	0
"262095"	2	0	0	7	0	0	8	1	1	0	0	19	0	0
"583656"	0	0	2	1	0	0	4	0	0	0	1	2	0	0
"367535"	2	0	0	0	0	0	0	0	0	0	0	10	0	0
"537290"	0	2	0	1	0	0	0	0	0	0	0	0	2	0
"984831"	0	0	18	0	0	0	22	0	0	1	0	0	39	0
"1080820"	0	0	0	0	0	0	3	0	0	0	0	0	0	0
