""	"AQ1409"	"AQ1334"	"AQ1331"	"AQ1333"	"AQ1227"	"AQ968"	"AQ1022"	"AQ1150"	"AQ1177"	"AQ1358"	"AQ1229"	"AQ1280"	"AQ1100"	"AQ1383"	"AQ1385"	"AQ1386"	"AQ1410"	"AQ1411"	"AQ1412"	"AQ1253"
"563240"	0	0	6	0	4	2	14	2	1	6	0	4	6	1	0	0	0	2	2	3
"820978"	0	0	0	0	0	0	0	0	10	0	33	0	0	0	3	0	0	19	0	0
"1107833"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"919487"	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0
"180752"	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2
"580743"	0	0	0	40	0	0	0	0	0	0	0	1	2	1	0	0	0	0	2	0
"609982"	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0
"807443"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
"740871"	0	0	0	0	1	0	0	2	2	1	1	1	0	0	0	0	0	4	0	4
"1084157"	0	2	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"364926"	0	0	0	0	0	0	0	0	8	0	8	0	0	0	6	0	0	6	0	0
"689950"	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"805151"	0	0	21	0	0	0	0	1	14	0	0	0	0	0	0	2	1	1	0	0
"822354"	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"612706"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"439036"	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"589792"	0	0	23	0	0	2	0	0	0	5	1	20	0	2	1	0	0	3	1	1
"592628"	0	0	1	0	4	0	0	0	1	1	0	0	2	0	0	0	0	0	2	1
"369064"	0	2	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0
"865469"	0	0	7	0	0	0	0	7	1	5	0	3	0	1	0	7	21	1	0	6
"1107027"	2	2988	288	0	740	46	14	92	8	45	1	194	930	3	1	25	109	1	1111	15
"585419"	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
"4428164"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"550936"	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0
"1084417"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"1060029"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0
"542066"	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0
"759916"	0	0	0	0	1	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0
"1111294"	68	7	170	0	1	10	47	4	104	3	63	3	3	641	27	79	13	51	17	4
"876170"	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"586458"	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
"217386"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"580625"	0	2	1	0	1	1	6	6	0	0	0	2	1	0	0	1	0	1	0	2
"334459"	3	1	8	0	0	2	5	0	3	0	2	0	1	19	2	0	3	2	1	3
"552922"	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"558264"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"1069592"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
"510422"	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0
"809486"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"1101451"	0	0	4	0	0	1	0	0	1	0	0	4	0	0	0	0	0	1	0	0
