""	"AQ292"	"AQ291"	"AQ242"
"505587"	0	4	0
"820978"	0	0	2
"1086889"	0	1	0
"300811"	0	6	0
"580743"	0	1	0
"609982"	11	25	0
"740871"	0	1	0
"1084157"	0	2	0
"364926"	0	0	2
"439036"	0	1	0
"1111496"	0	44	0
"589792"	2	1	0
"420127"	0	3	0
"592628"	0	0	2
"865469"	3	3	1
"1107027"	273	3061	1
"585419"	0	1	0
"550936"	0	1	2
"1084417"	0	2	0
"1060029"	0	1	0
"542066"	1	0	0
"929901"	1	0	0
"561885"	2	0	1
"1111294"	35	6	23
"1108208"	1	0	0
"172413"	0	1	0
"589691"	0	0	1
"359984"	2	0	1
"580625"	0	8	0
"334459"	2	0	0
"552922"	0	1	0
"363305"	0	1	0
"1069592"	0	1	0
"510422"	0	3	1
"1101451"	2	6	1
"1017181"	0	2	0
"989870"	2	0	0
"262095"	0	1	6
"583656"	0	0	1
"367535"	0	0	11
"537290"	0	4	1
"984831"	0	16	0
"1088305"	0	2	0
"988314"	1	11	0
"813945"	0	1	0
"4307652"	0	1	0
"1013670"	0	2	2
"812496"	0	29	0
"1108289"	5	3	3
"574655"	0	8	0
"1084906"	0	1	0
"818181"	0	0	1
"716006"	0	1	0
"1106617"	1	6	15
"269907"	0	2	0
"968954"	0	1	0
"1654477"	414	36	149
"1108638"	0	1	0
"806566"	1	0	0
"820086"	0	2	0
"1083037"	0	3	0
"450209"	0	2	0
"540982"	0	0	3
"697479"	0	1	0
"1108308"	0	1	0
"1011712"	0	4	0
"337083"	125	1	1905
"861807"	0	1	0
"805854"	165	94	2
"903158"	0	1	0
"308081"	15	3	11
"974121"	0	8	0
"811663"	0	0	1
"297672"	0	19	0
"1084865"	2	30	0
"265873"	0	0	1
"804735"	0	1	0
"1009894"	0	1	0
"1009362"	0	1	0
"1082059"	0	1	0
"1097359"	0	4	0
"541299"	0	1	0
"780788"	0	1	0
"719367"	0	1	0
"2752360"	0	1	0
"1082539"	0	2	0
"1069816"	0	1	0
"584109"	0	1	0
"308309"	12	0	23
"4385756"	0	0	4
"833317"	0	2	4
"132837"	275	4	0
"1107011"	0	14	0
"987760"	0	0	10
"1044436"	0	15	0
"760967"	0	2	0
"687940"	0	3	0
"590218"	0	0	3
"579608"	1	7	1
"646549"	0	6	0
"902334"	24	0	1
"351979"	177	13	0
"941487"	0	1	0
"503387"	1	4	0
"721526"	0	1	0
"9510"	716	1	335
"156357"	0	1	0
"768553"	0	0	3
"814277"	1	1	0
"992510"	0	1	0
"128390"	0	4	0
"933546"	1	1	0
"822419"	0	1	0
"1075821"	0	1	0
"889025"	0	1	0
"703741"	0	2	0
"582379"	0	0	5
"1108275"	1	0	0
"160015"	22	0	9
"291844"	6	0	27
"538237"	0	0	1
"573035"	7	4	35
"288283"	0	1	0
"548576"	1	2	1
"1106324"	0	2	1
"591748"	0	1	0
"712677"	0	0	2
"828483"	98	2	1285
"535375"	0	0	2
"667570"	0	1	0
"571320"	1	0	18
"1016923"	0	5	0
"1084952"	0	3	0
"544680"	49	9	0
"1111582"	0	0	1
"572889"	884	8	94
"446403"	0	4	0
"1107128"	0	9	0
"589376"	0	1	0
"990864"	0	4	0
"359750"	2	0	28
"538602"	2	4	1
"544313"	26	1	0
"1047041"	0	7	0
"1033018"	0	5	0
"835594"	0	1	0
"570444"	1	1	2
"922761"	0	3	0
"4028105"	0	1	0
"1099914"	0	1	0
"534507"	0	1	0
"233981"	0	14	6
"563572"	6	0	10
"1565317"	0	1	0
"519864"	0	0	1
"589040"	0	2	0
"27938"	1	0	0
"739614"	7	8	5
"593489"	1	0	0
"350697"	613	0	1
"1003206"	0	1	0
"4360168"	1	2	1
"1101488"	1	0	0
"1083194"	0	12	0
"889661"	0	1	0
"938948"	0	1	0
"879040"	0	2	0
"1051517"	0	2	0
"1083508"	0	2	0
"654742"	0	2	0
"1104529"	0	0	4
"536986"	28	11	0
"792393"	1	0	3
"833645"	0	0	4
"1002005"	3	8	2
"706432"	0	2	11
"969805"	0	1	0
"441265"	0	2	0
"New.0.ReferenceOTU246"	1	1	1
"New.0.ReferenceOTU827"	0	0	1
"New.0.ReferenceOTU176"	1	0	0
"New.0.ReferenceOTU177"	1	0	0
"New.0.ReferenceOTU174"	12	8	0
"New.0.ReferenceOTU392"	9	1	2
"New.0.ReferenceOTU158"	0	1	0
"New.0.ReferenceOTU179"	0	0	18
"New.0.ReferenceOTU138"	0	1	0
"New.0.ReferenceOTU618"	0	1	0
"New.0.ReferenceOTU262"	0	1	0
"New.0.ReferenceOTU541"	0	0	1
"New.0.ReferenceOTU727"	4	3	1
"New.0.ReferenceOTU791"	89	143	0
"New.0.ReferenceOTU445"	0	0	1
"New.0.ReferenceOTU453"	1	0	1
"New.0.ReferenceOTU359"	4	30	0
"New.0.ReferenceOTU800"	0	1	0
"New.0.ReferenceOTU678"	8	0	0
"New.0.ReferenceOTU413"	0	1	0
"New.0.ReferenceOTU41"	2	1	0
"New.0.ReferenceOTU43"	89	18	498
"New.0.ReferenceOTU739"	0	0	3
"New.0.ReferenceOTU103"	0	0	3
"New.0.ReferenceOTU745"	21	1	2
"New.0.ReferenceOTU329"	0	1	0
"New.0.ReferenceOTU169"	4	0	4
"New.0.ReferenceOTU168"	0	0	2
"New.0.ReferenceOTU161"	0	1	0
"New.0.ReferenceOTU680"	11	0	0
"New.0.ReferenceOTU357"	21	0	68
"New.0.CleanUp.ReferenceOTU15269"	1	0	0
"New.0.CleanUp.ReferenceOTU42791"	1	0	0
"692154"	0	1	0
"679245"	0	1	0
