""	"AQ999"	"AQ736"	"AQ215"	"AQ189"	"AQ710"	"AQ239"	"AQ554"	"AQ684"	"AQ762"	"AQ371"	"AQ111"	"AQ84"	"AQ135"	"AQ345"	"AQ658"	"AQ58"	"AQ320"	"AQ318"	"AQ261"	"AQ266"	"AQ265"
"505587"	7	0	0	0	0	0	0	0	0	0	2	12	0	0	0	0	0	11	5	0	0
"165827"	2	0	0	0	0	0	0	0	0	0	1	12	0	0	0	0	0	1	0	0	0
"563240"	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"820978"	0	0	924	3	0	0	0	0	0	0	170	3	0	84	0	0	0	0	0	0	0
"1086889"	1	0	0	0	0	0	0	0	0	0	0	5	0	0	0	1	0	0	0	0	0
"1076969"	2	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	1	0	0
"919487"	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0
"300811"	2	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	5	4	0	0
"552026"	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
"180752"	1	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	1	0	0	0
"580743"	1	1	4	0	0	0	0	6	0	0	0	0	1	1	1	0	0	0	0	0	0
"609982"	0	1	12	0	0	617	1	0	0	0	0	0	52	0	0	32	0	62	1	0	1
"807443"	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"740871"	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
"1084157"	10	0	0	0	0	0	0	0	0	0	0	17	0	0	0	3	0	2	0	0	0
"364926"	0	6	8	3	1	0	3	7	1	0	1	0	0	16	9	0	0	0	0	0	0
"689950"	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
"810959"	3	0	0	0	0	0	2	0	0	0	0	15	0	0	0	0	0	1	1	0	0
