from	to	corr	pval
"1002005"	"1003206"	0.103	0.000
"1002005"	"1005844"	-0.070	0.000
"1002005"	"1009362"	0.137	0.000
"1002005"	"1047041"	0.122	0.000
"1002005"	"1051517"	0.143	0.000
"1002005"	"1060029"	0.122	0.000
"1002005"	"1068470"	0.059	0.000
"1002005"	"1074210"	0.141	0.000
"1002005"	"1077373"	-0.066	0.000
"1002005"	"1082059"	0.183	0.000
"1002005"	"1082539"	0.156	0.000
"1002005"	"1083194"	0.243	0.000
"1002005"	"1083508"	0.160	0.000
"1002005"	"1084865"	0.276	0.000
"1002005"	"1084952"	0.100	0.000
"1002005"	"1088305"	0.095	0.000
"1002005"	"1097359"	0.222	0.000
"1002005"	"1099914"	0.123	0.000
"1002005"	"1101451"	0.252	0.000
"1002005"	"1105574"	0.075	0.000
"1002005"	"1106617"	0.180	0.000
"1002005"	"1107833"	-0.069	0.000
"1002005"	"1108275"	0.148	0.000
"1002005"	"1108289"	0.417	0.000
"1002005"	"1108638"	0.121	0.000
"1002005"	"1108960"	0.182	0.000
"1002005"	"1109744"	-0.066	0.000
"1002005"	"1111294"	-0.164	0.000
"1002005"	"132837"	0.273	0.000
"1002005"	"1654477"	-0.253	0.000
"1002005"	"1834768"	0.072	0.000
"1002005"	"1866742"	0.110	0.000
"1002005"	"225795"	-0.083	0.000
"1002005"	"262095"	-0.178	0.000
"1002005"	"269907"	0.087	0.000
"1002005"	"276149"	0.115	0.000
"1002005"	"291844"	-0.187	0.000
"1002005"	"308081"	-0.241	0.000
"1002005"	"337083"	-0.133	0.000
"1002005"	"3393186"	-0.056	0.000
"1002005"	"3507733"	-0.080	0.000
"1002005"	"351979"	-0.263	0.000
"1002005"	"359750"	-0.284	0.000
"1002005"	"364926"	-0.180	0.000
"1002005"	"367535"	-0.126	0.000
"1002005"	"377613"	-0.068	0.000
"1002005"	"420127"	0.089	0.000
"1002005"	"42256"	-0.057	0.000
"1002005"	"433739"	-0.057	0.000
"1002005"	"435928"	0.108	0.000
"1002005"	"4360168"	0.101	0.000
"1002005"	"4385756"	-0.384	0.000
