from	to	corr	pval
"1002005"	"1007180"	-0.099	0.000
"1002005"	"1049387"	0.274	0.000
"1002005"	"1062748"	0.315	0.000
"1002005"	"1068572"	-0.089	0.000
"1002005"	"1069592"	-0.066	0.000
"1002005"	"1076316"	-0.097	0.000
"1002005"	"1083194"	0.174	0.000
"1002005"	"1084865"	0.204	0.000
"1002005"	"1097359"	0.134	0.000
"1002005"	"1101451"	0.157	0.000
"1002005"	"1106324"	0.269	0.000
"1002005"	"1106617"	0.333	0.000
"1002005"	"1107027"	0.227	0.000
"1002005"	"1108275"	0.215	0.000
"1002005"	"1108289"	0.329	0.000
"1002005"	"1108726"	0.288	0.000
"1002005"	"1108960"	0.121	0.000
"1002005"	"1111496"	-0.073	0.000
"1002005"	"1111944"	0.279	0.000
"1002005"	"1133602"	-0.062	0.000
"1002005"	"132837"	0.323	0.000
"1002005"	"152483"	-0.066	0.000
"1002005"	"1654477"	-0.326	0.000
"1002005"	"1866742"	0.192	0.000
"1002005"	"248395"	0.268	0.000
"1002005"	"262095"	-0.194	0.000
"1002005"	"2855257"	-0.109	0.000
"1002005"	"308081"	-0.164	0.000
"1002005"	"351979"	-0.291	0.000
"1002005"	"359750"	-0.289	0.000
"1002005"	"364926"	-0.165	0.000
"1002005"	"388951"	-0.087	0.000
"1002005"	"42256"	-0.077	0.000
"1002005"	"4360168"	0.095	0.000
"1002005"	"4385756"	-0.368	0.000
"1002005"	"441265"	0.126	0.000
"1002005"	"519864"	-0.199	0.000
"1002005"	"533373"	-0.221	0.000
"1002005"	"536986"	-0.204	0.000
"1002005"	"538602"	0.314	0.000
"1002005"	"540982"	-0.271	0.000
"1002005"	"541299"	0.282	0.000
"1002005"	"542066"	0.191	0.000
"1002005"	"544680"	0.356	0.000
"1002005"	"544841"	0.294	0.000
"1002005"	"544847"	0.278	0.000
"1002005"	"545445"	-0.103	0.000
"1002005"	"559527"	0.237	0.000
"1002005"	"562010"	-0.063	0.000
"1002005"	"563240"	0.157	0.000
"1002005"	"568556"	-0.075	0.000
"1002005"	"572889"	-0.262	0.000
"1002005"	"573035"	0.355	0.000
"1002005"	"580411"	0.127	0.000
"1002005"	"582379"	-0.226	0.000
"1002005"	"583656"	-0.122	0.000
"1002005"	"589792"	0.174	0.000
"1002005"	"591699"	-0.066	0.000
"1002005"	"609982"	0.139	0.000
"1002005"	"612706"	-0.106	0.000
"1002005"	"654742"	-0.052	0.000
"1002005"	"674655"	0.241	0.000
"1002005"	"679245"	0.163	0.000
"1002005"	"697479"	0.197	0.000
"1002005"	"703741"	0.169	0.000
"1002005"	"711803"	0.233	0.000
"1002005"	"739614"	0.321	0.000
"1002005"	"806566"	0.073	0.000
"1002005"	"813418"	0.221	0.000
"1002005"	"814282"	0.308	0.000
"1002005"	"820978"	-0.151	0.000
"1002005"	"828483"	-0.234	0.000
"1002005"	"97361"	-0.062	0.000
"1002005"	"984831"	0.153	0.000
"1002005"	"987760"	0.234	0.000
"1002005"	"992510"	0.347	0.000
"1002005"	"New.0.CleanUp.ReferenceOTU104626"	-0.330	0.000
"1002005"	"New.0.CleanUp.ReferenceOTU108577"	-0.190	0.000
"1002005"	"New.0.CleanUp.ReferenceOTU109902"	-0.069	0.000
"1002005"	"New.0.CleanUp.ReferenceOTU111110"	0.225	0.000
"1002005"	"New.0.CleanUp.ReferenceOTU111477"	-0.312	0.000
"1002005"	"New.0.CleanUp.ReferenceOTU116380"	-0.187	0.000
"1002005"	"New.0.CleanUp.ReferenceOTU121273"	0.252	0.000
"1002005"	"New.0.CleanUp.ReferenceOTU125389"	-0.207	0.000
"1002005"	"New.0.CleanUp.ReferenceOTU127664"	-0.089	0.000
"1002005"	"New.0.CleanUp.ReferenceOTU138349"	-0.266	0.000
"1002005"	"New.0.CleanUp.ReferenceOTU139292"	-0.059	0.000
"1002005"	"New.0.CleanUp.ReferenceOTU139618"	0.232	0.000
"1002005"	"New.0.CleanUp.ReferenceOTU15269"	-0.317	0.000
