from	to	corr	pval
"1002005"	"1047041"	0.206	0.000
"1002005"	"1051517"	0.164	0.000
"1002005"	"1060029"	0.214	0.000
"1002005"	"1068572"	0.121	0.000
"1002005"	"1074210"	0.201	0.000
"1002005"	"1077373"	-0.099	0.000
"1002005"	"1078248"	0.109	0.000
"1002005"	"1080820"	0.146	0.000
"1002005"	"1082539"	0.219	0.000
"1002005"	"1083194"	0.294	0.000
"1002005"	"1083508"	0.261	0.000
"1002005"	"1084157"	0.203	0.000
"1002005"	"1084865"	0.308	0.000
"1002005"	"1097359"	0.380	0.000
"1002005"	"1099914"	0.179	0.000
"1002005"	"1101451"	0.305	0.000
"1002005"	"1107833"	-0.085	0.000
"1002005"	"1108208"	-0.117	0.000
"1002005"	"1108289"	0.506	0.000
"1002005"	"1108638"	0.162	0.000
"1002005"	"1108960"	0.275	0.000
"1002005"	"134265"	-0.091	0.000
"1002005"	"1654477"	-0.309	0.000
"1002005"	"180752"	0.157	0.000
"1002005"	"183182"	-0.094	0.000
"1002005"	"217386"	-0.127	0.000
"1002005"	"262095"	-0.259	0.000
"1002005"	"269907"	0.164	0.000
"1002005"	"276149"	0.263	0.000
"1002005"	"279193"	-0.105	0.000
"1002005"	"291844"	-0.306	0.000
"1002005"	"308081"	-0.339	0.000
"1002005"	"308309"	-0.283	0.000
"1002005"	"334459"	-0.192	0.000
"1002005"	"337083"	-0.278	0.000
"1002005"	"34791"	-0.127	0.000
"1002005"	"349901"	0.135	0.000
"1002005"	"351979"	-0.310	0.000
"1002005"	"359750"	-0.368	0.000
"1002005"	"361600"	-0.078	0.000
"1002005"	"367535"	-0.273	0.000
"1002005"	"377613"	-0.078	0.000
"1002005"	"420127"	0.162	0.000
"1002005"	"4318989"	0.116	0.000
"1002005"	"435928"	0.214	0.000
"1002005"	"4385756"	-0.376	0.000
"1002005"	"441265"	0.242	0.000
"1002005"	"4476095"	-0.078	0.000
"1002005"	"465989"	0.130	0.000
"1002005"	"505587"	0.179	0.000
"1002005"	"510174"	0.140	0.000
"1002005"	"519864"	-0.259	0.000
"1002005"	"529652"	-0.225	0.000
"1002005"	"533373"	-0.221	0.000
"1002005"	"540982"	-0.268	0.000
"1002005"	"542066"	0.217	0.000
"1002005"	"543151"	0.256	0.000
"1002005"	"544480"	-0.085	0.000
"1002005"	"544680"	0.308	0.000
"1002005"	"545445"	-0.088	0.000
"1002005"	"572889"	-0.455	0.000
"1002005"	"574655"	0.193	0.000
"1002005"	"578837"	-0.102	0.000
"1002005"	"579608"	0.268	0.000
"1002005"	"582379"	-0.318	0.000
"1002005"	"583656"	-0.293	0.000
"1002005"	"586093"	-0.071	0.000
"1002005"	"587532"	-0.105	0.000
"1002005"	"588165"	-0.098	0.000
